"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 04 18:04:03 CST 2020","Thu Jun 04 18:04:33 CST 2020","30241","","testrun","TestClass","","","test_run[15-0-14-从项目页-点击查看跳转到报告详情页面-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.section-container.table-container > div.el-table.test-info-table.section-container.el-table--fit.el-table--border.el-table--enable-row-transition > div.el-table__body-wrapper.is-scrolling-none > table > tbody > tr > td.el-table_1_column_9 > div > button > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/basicinfo?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"failed","Thu Jun 04 18:05:41 CST 2020","Thu Jun 04 18:05:43 CST 2020","1881","","testrun","TestClass","","","test_run[19-1-18-用户设置界面-点击返回-[""back""]-[""none""]-get_url-[""none""]-https://test.uwa4d.com/u/pipeline/overview?project=6746&type=7-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[28-0-27-从报告详情页面-硬件信息页面-点击硬件信息-网络上传峰值 (KB/60帧)-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div > div.widget-container.el-row > div:nth-child(4) > div > div.el-row > div.el-col.el-col-16 > p'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div > div.hchart-content > div > div.hchart-header > h3'""]-网络上传-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[107-0-106-项目页-纹理资源-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > ul > li:nth-child(4) > a > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/got/resource.html/asset?dataKey=20170721104021oes4f925317&project=233&assetType=AnimationClip&engine=1-None]",""
"skipped","Thu Jun 04 18:05:44 CST 2020","Thu Jun 04 18:05:44 CST 2020","0","","testrun","TestClass","","","test_run[40-0-39-从登录状态-变成退出登录-[""click"",""perform_click""]-[""""""By.XPATH,'/html/body/div[1]/div[1]/div[2]/div'"""""",""""""(By.XPATH,'/html/body/div[1]/header/nav/div[3]/div/div')|(By.XPATH,'/html/body/ul/li[3]')""""""]-get_url-[""none""]-https://test.uwa4d.com/-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","1","","testrun","TestClass","","","test_run[42-1-41-从消息通知页面-跳转到报告详情页面-逻辑代码页面-[""back""]-[""none""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/logic?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[54-1-53-从账户设置页面-跳转到报告详情页面-逻辑代码页面-[""back""]-[""none""]-get_url-[""none""]-https://test.uwa4d.com/u/got/perfanalysis.html/log?dataKey=20200217171959cog16ce4639&project=7040&engine=1-None]",""
"passed","Thu Jun 04 18:02:03 CST 2020","Thu Jun 04 18:02:07 CST 2020","3092","","testrun","TestClass","","","test_run[7-0-6-从GOT Online界面-总体性能分析（1）-[""click""]-[""By.CSS_SELECTOR,'#pane-gotProjects > div > div.button-container > button:nth-child(1) > span'""]-get_text-[""By.CSS_SELECTOR,'#pane-gotProjects > div > div.projects-container > div > div > div.project-content > div.project-desc > div.project-desc-header > p'""]-已完成-None]",""
"passed","Wed May 06 16:24:00 CST 2020","Wed May 06 16:24:01 CST 2020","1090","","testrun","TestClass","","","test_run[2-1-1-从价格页面-返回到测试首页-[""back""]-[""none""]-get_title-[""none""]-UWA - 简单优化、优化简单-None0]",""
"skipped","Thu Jun 04 18:05:43 CST 2020","Thu Jun 04 18:05:43 CST 2020","1","","testrun","TestClass","","","test_run[22-0-21-从项目报告页-点击失败的检测结果右侧下拉菜单-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.plugin-container.report-content > div.rule-table-container > div > div.el-table__body-wrapper.is-scrolling-none > table > tbody > tr:nth-child(1) > td.el-table_2_column_14.undefined.el-table__expand-column > div > div > i'""]-get_attr-[""(By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.plugin-container.report-content > div.rule-table-container > div > div.el-table__body-wrapper.is-scrolling-none > table > tbody > tr.el-table__row.expanded')|class""]-el-table__row expanded-None]",""
